recordedBy,eventDate,eventTime,decimalLatitude,decimalLongitude,verbatimElevation,coordinateUncertaintyInMeters,verbatimLocality,habitat,verbatimIdentification,individualCount,occurrenceID,occurrenceRemarks,associatedMedia,vernacularName,scientificName
"Vijay Kumar, Orvill",22/12/2023,18:37:00+05:30,12.930922,75.646684,NA,500,field-27,Edge,Leopard_Cat,1,urn:ncf:arp:mammals:uuid:0b7260cc-973d-486e-bdaf-4e1033dfcdd4:115,NA,NA,Leopard cat,Prionailurus bengalensis
Vijay Kumar,04/10/2023,14:50:00+05:30,12.93117,75.656761,NA,1000,vg_temple,Rainforest,Common_Langur,2,urn:ncf:arp:mammals:uuid:4e1d3fae-4db5-4a28-b6ed-bdb0c2dfcbbe:116,NA,NA,Black-footed gray langur,Semnopithecus hypoleucos
"Vijay Kumar, Nisar",22/01/2023,13:30:00+05:30,12.930922,75.646684,NA,500,field-27,Rainforest,Barking_Deer,2,urn:ncf:arp:mammals:uuid:c7e99d83-038b-4ed6-9be3-d0b02e7f7983:117,NA,NA,Indian muntjac,Muntiacus muntjac
"Vijay Kumar, Abhirami, Orvill",01/12/2023,12:02:00+05:30,12.93117,75.656761,NA,1000,vg_temple,Rainforest,Common_Langur,6,urn:ncf:arp:mammals:uuid:ff6f3cf1-1c9a-4b9b-9916-9d5b6c66b4a7:118,NA,NA,Black-footed gray langur,Semnopithecus hypoleucos
"Vijay Kumar, Abhirami, Ranjith, Manu, Kiran",27/08/2023,09:45:00+05:30,12.932079,75.655302,NA,500,terfc_fieldstation,Rainforest,Nilgiri_Marten,2,urn:ncf:arp:mammals:uuid:7e347f5a-c28f-40d5-8094-e1ad9051b045:119,"Observers:Vijay Kumar, Abhirami, Ranjith, Manu, Kiran | timestamp:27Aug2023_09:45 | Total_count | Sighting | 2 of them jumped from the canopy and chasing each other on the ground and when inside forest",NA,Nilgiri marten,Martes gwatkinsii
"Vijay Kumar, Manu, Sowjanya, Mintu, Dushyanth",14/05/2024,08:57:00+05:30,12.919185,75.650272,NA,500,bungalow_mattam,Grassland,Gaur,3,urn:ncf:arp:mammals:uuid:ec9931ac-6f83-4b9c-b0f7-03b1a89b8f95:120,NA,NA,Gaur,Bos gaurus
"Vijay Kumar, Suman",30/08/2023,11:50:00+05:30,12.934666,75.676466,NA,1000,north_East,Grassland,Black_Naped_Hare,1,urn:ncf:arp:mammals:uuid:bf8b215d-1d43-4f2d-9a29-1f16bc54cbd4:121,NA,NA,Indian hare,Lepus nigricollis
"Vijay Kumar, Vijay Karthick, Abhirami, Ram, Ranjith",17/12/2023,09:28:00+05:30,12.932079,75.655302,NA,500,terfc_fieldstation,Rainforest,Brown_Mongoose,1,urn:ncf:arp:mammals:uuid:ae705ad3-4b3e-4679-8163-6b8d7934f43d:122,NA,NA,Brown mongoose,Herpestes fuscus
Vijay Kumar,19/12/2023,17:11:00+05:30,12.915098,75.671549,NA,500,mg_lines,Tea_Plantation,Barking_Deer,1,urn:ncf:arp:mammals:uuid:f285c9c0-4384-429d-89ef-9b8e8a00787e:123,NA,NA,Indian muntjac,Muntiacus muntjac
Vijay Kumar,08/09/2023,19:04:00+05:30,12.911993,75.65128,NA,500,kt_lines,Tea_Plantation,Black_Naped_Hare,1,urn:ncf:arp:mammals:uuid:27bda8c2-0be3-448f-bdbe-1c5b1234d9eb:124,NA,NA,Indian hare,Lepus nigricollis
"Vijay Kumar, Vijay Karthick, Abhirami, Ram",25/12/2023,19:08:00+05:30,12.928473,75.650986,NA,1000,kt_vg_road,Tea_Plantation,Black_Naped_Hare,2,urn:ncf:arp:mammals:uuid:1cc9b64e-92fc-4f9f-a4ed-df674eae751d:125,NA,NA,Indian hare,Lepus nigricollis
Vijay Kumar,06/12/2023,17:34:00+05:30,12.915098,75.671549,NA,500,mg_lines,Edge,Brown_Mongoose,1,urn:ncf:arp:mammals:uuid:d2a1d5f1-3b4e-4a3e-85d3-2c9d0cf1d3bb:126,NA,NA,Brown mongoose,Herpestes fuscus
Vijay Kumar,07/03/2024,16:17:00+05:30,12.915098,75.671549,NA,500,mg_lines,Tea_Plantation,Brown_Mongoose,1,urn:ncf:arp:mammals:uuid:6193d2a3-5943-4b7a-b346-82ec0e8b2f27:127,NA,NA,Brown mongoose,Herpestes fuscus
Vijay Kumar,22/05/2024,09:26:00+05:30,12.911993,75.65128,NA,500,kt_lines,Tea_Plantation,Common_Mongoose,1,urn:ncf:arp:mammals:uuid:7e0739e7-94e0-4b23-b40f-9422be3c319b:128,NA,NA,Indian grey mongoose,Urva edwardsii
Vijay Kumar,09/12/2023,09:30:00+05:30,12.915098,75.671549,NA,500,mg_lines,Tea_Plantation,Brown_Mongoose,1,urn:ncf:arp:mammals:uuid:e06d2df4-f9bb-42b4-9d8f-cd219e34fc14:129,NA,NA,Brown mongoose,Herpestes fuscus
"Vijay Kumar, Suman, Abhirami",30/09/2023,19:40:00+05:30,12.8147174,75.7326062,NA,500,bungalow_mattam,Rainforest,Black_Naped_Hare,1,urn:ncf:arp:mammals:uuid:8ad8a4fa-d8e4-4513-95fd-1f3d1f62e09a:130,NA,NA,Indian hare,Lepus nigricollis
Vijay Kumar,14/02/2024,19:17:00+05:30,12.919185,75.650272,NA,500,bungalow_mattam,Tea_Plantation,Black_Naped_Hare,1,urn:ncf:arp:mammals:uuid:5f8d2a73-1d9c-4f07-8e0d-1848bfb1741a:131,NA,NA,Indian hare,Lepus nigricollis
